Broadcast,Campaign,Date,Sent,Delivered,Opens,Clicks,OptOuts,Bounces,BounceRate,CTOR,CTR,OpenRate,UnsubRate
FY17 UG Adult App Gen Email 12 - Nursing,Adult_App_Gen,08/10/2017,1779,0,430,58,6,3,0.0017,0.1349,0.0327,0.2421,0.0034
FY17 UG Lead Nurture Email 12 - Environmental Sciences,UG_Lead_Nurture,08/15/2017,9725,0,2611,343,20,8,0.0008,0.1314,0.0353,0.2687,0.0021
FY18 UG HS AppGen Email 02 - Common App*,HS_App_Gen,08/08/2017,58,0,1172,25,12,0,0.0000,0.0213,0.0000,0.0000,0.0000
FY18 UG Adult App Gen Email 01 - PLA,Adult_App_Gen,09/01/2017,1558,1552,282,33,2,6,0.0039,0.1170,0.0213,0.1817,0.0013
FY18 UG HS AppGen Email 03 - Study what you love,HS_App_Gen,09/01/2017,6211,6209,1089,63,16,2,0.0003,0.0579,0.0101,0.1754,0.0026
FY18 UG Lead Nurture Email 01 - Early Aspirations,UG_Lead_Nurture,09/01/2017,3939,3934,670,55,7,5,0.0013,0.0821,0.0140,0.1703,0.0018
FY18 UG Adult App Gen Email 02 - Academic Strengths,Adult_App_Gen,10/11/2017,1589,1584,212,17,7,5,0.0031,0.0802,0.0107,0.1338,0.0044
FY18 UG HS AppGen Email 05 - Financial Aid,HS_App_Gen,10/10/2017,8283,8278,1271,108,14,5,0.0006,0.0850,0.0130,0.1535,0.0017
FY18 UG HS AppGen Email 06 - Everyone,HS_App_Gen,10/24/2017,8893,8886,1348,114,20,7,0.0008,0.0846,0.0128,0.1517,0.0023
FY18 UG Lead Nurture Email 02 - College Tips,UG_Lead_Nurture,10/10/2017,4534,4532,634,49,5,2,0.0004,0.0773,0.0108,0.1399,0.0011
FY18 UG Adult App Gen Email 04 - Affordability,Adult_App_Gen,12/12/2017,1693,1693,206,25,4,0,0.0000,0.1214,0.0148,0.1217,0.0024
FY18 UG HS AppGen Email 09 - Therapeutic Rec,HS_App_Gen,12/05/2017,10049,10039,1759,117,31,10,0.0010,0.0665,0.0117,0.1752,0.0031
FY18 UG HS AppGen Email 10 - FAFSA Deadline,HS_App_Gen,12/14/2017,9924,9913,1821,90,23,11,0.0011,0.0494,0.0091,0.1837,0.0023
FY18 UG Lead Nurture Email 04 - Veronica,UG_Lead_Nurture,12/12/2017,6470,6467,736,53,5,3,0.0005,0.0720,0.0082,0.1138,0.0008
FY18 UG Adult App Gen Email 05 - Keep learning,Adult_App_Gen,01/16/2018,1712,1710,290,18,9,2,0.0012,0.0621,0.0105,0.1696,0.0053
FY18 UG HS AppGen Email 11 - Computer Science,HS_App_Gen,01/09/2018,9454,9447,1652,107,36,7,0.0007,0.0648,0.0113,0.1749,0.0038
FY18 UG HS AppGen Email 12 - Community,HS_App_Gen,01/23/2018,9143,9137,1628,117,21,6,0.0007,0.0719,0.0128,0.1782,0.0023
FY18 UG Lead Nurture Email 05 - Thinking ahead,UG_Lead_Nurture,01/16/2018,6584,6571,1225,79,15,13,0.0020,0.0645,0.0120,0.1864,0.0023
FY18 UG Adult App Gen Email 06 - Trish Hodgkins,Adult_App_Gen,02/13/2018,1667,1666,237,23,5,1,0.0006,0.0970,0.0138,0.1423,0.0030
FY18 UG HS AppGen Email 13 - Scholarships,HS_App_Gen,02/06/2018,9047,9045,1354,160,20,2,0.0002,0.1182,0.0177,0.1497,0.0022
FY18 UG HS AppGen Email 14 - Affordability,HS_App_Gen,02/20/2018,8940,8938,1285,109,16,2,0.0002,0.0848,0.0122,0.1438,0.0018
FY18 UG Lead Nurture Email 06 - Location,UG_Lead_Nurture,02/15/2018,8448,8436,1438,90,16,12,0.0014,0.0626,0.0107,0.1705,0.0019
FY18 UG Adult App Gen Email 08 - University of Everyone,Adult_App_Gen,04/10/2018,1768,1757,299,19,14,11,0.0062,0.0635,0.0108,0.1702,0.0080
FY18 UG HS AppGen Email 17 - Advising,HS_App_Gen,04/03/2018,8918,8903,1237,111,37,15,0.0017,0.0897,0.0125,0.1389,0.0042
FY18 UG HS AppGen Email 18 - Tourism,HS_App_Gen,04/17/2018,8857,8802,1090,118,80,55,0.0062,0.1083,0.0134,0.1238,0.0091
FY18 UG Lead Nurture Email 08 - Visit USM,UG_Lead_Nurture,04/10/2018,10355,10301,1646,121,70,54,0.0052,0.0735,0.0117,0.1598,0.0068
FY18 UG Adult App Gen Email 09 - Ryan Michaud,Adult_App_Gen,05/08/2018,1808,1807,252,17,4,1,0.0006,0.0675,0.0094,0.1395,0.0022
FY18 UG HS AppGen Email 19 - Cybersecurity,HS_App_Gen,05/01/2018,8728,8721,1039,101,39,7,0.0008,0.0972,0.0116,0.1191,0.0045
FY18 UG HS AppGen Email 20 - Internships,HS_App_Gen,05/15/2018,8670,8631,1030,99,54,39,0.0045,0.0961,0.0115,0.1193,0.0063
FY18 UG Lead Nurture Email 09 - Exercise Science,UG_Lead_Nurture,05/15/2018,11942,11827,2010,144,116,115,0.0096,0.0716,0.0122,0.1700,0.0098
FY18 UG Adult App Gen Email 10 - Flexible Education,Adult_App_Gen,06/12/2018,1880,1876,264,19,5,4,0.0021,0.0720,0.0101,0.1407,0.0027
FY18 UG HS AppGen Email 21 - Core Curriculum,HS_App_Gen,06/05/2018,8580,8533,901,95,44,47,0.0055,0.1054,0.0111,0.1056,0.0052
FY18 UG Lead Nurture Email 10 - Iceland,UG_Lead_Nurture,06/12/2018,12371,12287,1921,159,80,84,0.0068,0.0828,0.0129,0.1563,0.0065
FY18 UG Adult App Gen Email 11 - Career Direction,Adult_App_Gen,07/17/2018,1926,1917,259,20,7,9,0.0047,0.0772,0.0104,0.1351,0.0037
