Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:32:12 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,788644,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,1/8/2020 6:00:44 PM,,,,,,
Send Complete Time,1/8/2020 6:01:00 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 11,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,113,15.416%,130,15.169%,1.489193%,
https://usm.maine.edu/office-of-admissions/video-environmental-sciences,,98,13.37%,99,11.552%,1.291513%,
https://usm.maine.edu/career-and-employment-hub,,96,13.097%,110,12.835%,1.265156%,
http://usm.maine.edu,,96,13.097%,103,12.019%,1.265156%,
https://usm.maine.edu/career-and-employment-hub/overview,,96,13.097%,97,11.319%,1.265156%,
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,,96,13.097%,97,11.319%,1.265156%,
https://usm.maine.edu/visit#virtualtour,,27,3.683%,31,3.617%,0.355825%,
https://www.instagram.com/USouthernMaine,,24,3.274%,49,5.718%,0.316289%,
https://twitter.com/USouthernMaine,,24,3.274%,47,5.484%,0.316289%,
https://www.youtube.com/user/USouthernMaine,,24,3.274%,26,3.034%,0.316289%,
https://www.facebook.com/USouthernMaine,,24,3.274%,25,2.917%,0.316289%,
Unsubscribe,,15,2.046%,43,5.018%,0.197681%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=feba13787d620079&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=feba13787d620079&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/?j=feba13787d620079&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=feba13787d620079&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,733,,857,,,
,,,,,,,
,,,,,,,
