Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 11:58:22 AM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,818228,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,1/28/2020 6:00:48 PM,,,,,,
Send Complete Time,1/28/2020 6:01:05 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 12,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,28,35.443%,34,25.185%,0.376749%,
Unsubscribe,,19,24.051%,51,37.778%,0.255651%,
http://usm.maine.edu,,5,6.329%,9,6.667%,0.067277%,
https://usm.maine.edu/events/public,,4,5.063%,9,6.667%,0.053821%,
https://usm.maine.edu/scholarships/merit-scholarships,,4,5.063%,7,5.185%,0.053821%,
https://usm.maine.edu/activities/usm,,4,5.063%,6,4.444%,0.053821%,
https://usm.maine.edu/campuses,,4,5.063%,6,4.444%,0.053821%,
https://usm.maine.edu/visit#virtualtour,,3,3.797%,3,2.222%,0.040366%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec21c717d660675&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,2,2.532%,3,2.222%,0.026911%,
https://www.instagram.com/USouthernMaine,,2,2.532%,2,1.481%,0.026911%,
https://twitter.com/USouthernMaine,,1,1.266%,2,1.481%,0.013455%,
http://view.e-usm.maine.edu/?j=fec21c717d660675&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,1.266%,1,0.741%,0.013455%,
https://www.facebook.com/USouthernMaine,,1,1.266%,1,0.741%,0.013455%,
https://www.linkedin.com/school/university-of-southern-maine,,1,1.266%,1,0.741%,0.013455%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec21c717d660675&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fec21c717d660675&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
https://www.youtube.com/user/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,79,,135,,,
,,,,,,,
,,,,,,,
