Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:10:48 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,875423,,,,,,
List ID(s) Reported On:,15060,,,,,,
Send Start Time,3/3/2020 6:00:44 PM,,,,,,
Send Complete Time,3/3/2020 6:01:00 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 14,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,36,45.00%,40,33.058%,0.491333%,
Unsubscribe,,17,21.25%,48,39.669%,0.232019%,
https://usm.maine.edu/scholarships,,5,6.25%,7,5.785%,0.068241%,
https://usm.maine.edu/office-of-admissions/video-financial-aid-and-affordability,,4,5.00%,4,3.306%,0.054593%,
https://usm.maine.edu/costs-financial-aid,,3,3.75%,3,2.479%,0.040944%,
http://usm.maine.edu,,2,2.50%,4,3.306%,0.027296%,
https://usm.maine.edu/visit#virtualtour,,2,2.50%,4,3.306%,0.027296%,
http://facebook.com/USouthernMaine,,2,2.50%,2,1.653%,0.027296%,
https://usm.maine.edu/scholarships/merit-scholarships,,2,2.50%,2,1.653%,0.027296%,
https://usm.maine.edu/student-financial-services/federal-work-study-program,,2,2.50%,2,1.653%,0.027296%,
http://instagram.com/USouthernMaine,,1,1.25%,1,0.826%,0.013648%,
http://linkedin.com/edu/school?id=18589,,1,1.25%,1,0.826%,0.013648%,
http://twitter.com/USouthernMaine,,1,1.25%,1,0.826%,0.013648%,
http://view.e-usm.maine.edu/?j=fec21c777060067e&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,1.25%,1,0.826%,0.013648%,
http://youtube.com/user/USouthernMaine,,1,1.25%,1,0.826%,0.013648%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec21c777060067e&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec21c777060067e&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fec21c777060067e&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
https://usm.maine.edu/office-of-admissions/video-promise-scholarship,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,80,,121,,,
,,,,,,,
,,,,,,,
