Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:25:16 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,721431,,,,,,
List ID(s) Reported On:,15060,,,,,,
Send Start Time,11/21/2019 6:01:35 PM,,,,,,
Send Complete Time,11/21/2019 6:01:42 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 08 (Version A),,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,42,18.667%,47,19.028%,2.005731%,
https://usm.maine.edu/office-of-admissions/video-ashley-howe,,36,16.00%,36,14.575%,1.719198%,
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,,34,15.111%,34,13.765%,1.623687%,
https://usm.maine.edu/meet-our-faculty,,33,14.667%,37,14.98%,1.575931%,
http://usm.maine.edu,,33,14.667%,36,14.575%,1.575931%,
https://usm.maine.edu/advising,,33,14.667%,35,14.17%,1.575931%,
Unsubscribe,,6,2.667%,12,4.858%,0.286533%,
https://usm.maine.edu/visit#virtualtour,,4,1.778%,4,1.619%,0.191022%,
http://instagram.com/USouthernMaine,,1,0.444%,2,0.81%,0.047755%,
http://twitter.com/USouthernMaine,,1,0.444%,2,0.81%,0.047755%,
http://facebook.com/USouthernMaine,,1,0.444%,1,0.405%,0.047755%,
http://view.e-usm.maine.edu/?j=fecd13727460077c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.444%,1,0.405%,0.047755%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fecd13727460077c&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fecd13727460077c&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://linkedin.com/edu/school?id=18589,,0,0.00%,0,0.00%,0.00000%,
http://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fecd13727460077c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
http://youtube.com/user/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,225,,247,,,
,,,,,,,
,,,,,,,
