Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:26:42 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,721432,,,,,,
List ID(s) Reported On:,15060,,,,,,
Send Start Time,11/21/2019 6:01:36 PM,,,,,,
Send Complete Time,11/21/2019 6:01:44 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 08 (Version B),,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,51,18.214%,56,17.949%,2.423954%,
http://usm.maine.edu,,41,14.643%,44,14.103%,1.948669%,
https://usm.maine.edu/office-of-admissions/video-ashley-howe,,41,14.643%,41,13.141%,1.948669%,
https://usm.maine.edu/meet-our-faculty,,40,14.286%,44,14.103%,1.901141%,
https://usm.maine.edu/advising,,40,14.286%,43,13.782%,1.901141%,
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,,40,14.286%,40,12.821%,1.901141%,
http://twitter.com/USouthernMaine,,6,2.143%,10,3.205%,0.285171%,
https://usm.maine.edu/visit#virtualtour,,6,2.143%,6,1.923%,0.285171%,
Unsubscribe,,4,1.429%,12,3.846%,0.190114%,
http://instagram.com/USouthernMaine,,4,1.429%,8,2.564%,0.190114%,
http://facebook.com/USouthernMaine,,4,1.429%,4,1.282%,0.190114%,
http://view.e-usm.maine.edu/?j=fecc13727460077f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.357%,2,0.641%,0.047529%,
http://linkedin.com/edu/school?id=18589,,1,0.357%,1,0.321%,0.047529%,
http://usm.maine.edu/high-school-students,,1,0.357%,1,0.321%,0.047529%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fecc13727460077f&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fecc13727460077f&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fecc13727460077f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
http://youtube.com/user/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,280,,312,,,
,,,,,,,
,,,,,,,
