Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:28:19 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,723052,,,,,,
List ID(s) Reported On:,15060,,,,,,
Send Start Time,11/22/2019 5:01:37 PM,,,,,,
Send Complete Time,11/22/2019 5:02:05 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 08 (Version B),,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,70,13.06%,83,12.519%,1.644737%,
https://usm.maine.edu/office-of-admissions/video-ashley-howe,,65,12.127%,65,9.804%,1.527256%,
https://usm.maine.edu/meet-our-faculty,,60,11.194%,70,10.558%,1.409774%,
http://usm.maine.edu,,60,11.194%,69,10.407%,1.409774%,
https://usm.maine.edu/advising,,59,11.007%,69,10.407%,1.386278%,
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,,59,11.007%,59,8.899%,1.386278%,
https://usm.maine.edu/visit#virtualtour,,40,7.463%,42,6.335%,0.93985%,
http://twitter.com/USouthernMaine,,38,7.09%,77,11.614%,0.892857%,
http://instagram.com/USouthernMaine,,37,6.903%,68,10.256%,0.869361%,
http://facebook.com/USouthernMaine,,36,6.716%,36,5.43%,0.845865%,
Unsubscribe,,7,1.306%,19,2.866%,0.164474%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fecc13727664017f&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.187%,2,0.302%,0.023496%,
http://linkedin.com/edu/school?id=18589,,1,0.187%,1,0.151%,0.023496%,
http://usm.maine.edu/high-school-students,,1,0.187%,1,0.151%,0.023496%,
http://view.e-usm.maine.edu/?j=fecc13727664017f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.187%,1,0.151%,0.023496%,
http://youtube.com/user/USouthernMaine,,1,0.187%,1,0.151%,0.023496%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fecc13727664017f&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fecc13727664017f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,536,,663,,,
,,,,,,,
,,,,,,,
