Link,UniqueClicks,PctUniqClicks,TotalClicks,PctTotal Clicks,NetCTR,EmailNumber,LinkPlacement,Date
https://usm.maine.edu/apply,157,15.08%,173,15.52%,1.88%,Email7,Email7 Link_Number 1,11/05/2019
http://usm.maine.edu,128,12.30%,140,12.56%,1.53%,Email7,Email7 Link_Number 2,11/05/2019
https://usm.maine.edu/maps-parking-transportation/bus,127,12.20%,127,11.39%,1.52%,Email7,Email7 Link_Number 3,11/05/2019
https://usm.maine.edu/sustainability/ecorep,127,12.20%,127,11.39%,1.52%,Email7,Email7 Link_Number 4,11/05/2019
https://usm.maine.edu/sustainability/recycling,126,12.10%,126,11.30%,1.51%,Email7,Email7 Link_Number 5,11/05/2019
https://usm.maine.edu/sustainability/sustainable-landscapes,125,12.01%,125,11.21%,1.50%,Email7,Email7 Link_Number 6,11/05/2019
https://usm.maine.edu/visit#virtualtour,62,5.96%,67,6.01%,0.74%,Email7,Email7 Link_Number 7,11/05/2019
https://usm.maine.edu/office-of-admissions/experience-usm,57,5.48%,61,5.47%,0.68%,Email7,Email7 Link_Number 8,11/05/2019
https://usm.maine.edu/environmental-science/overview,57,5.48%,58,5.20%,0.68%,Email7,Email7 Link_Number 9,11/05/2019
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,57,5.48%,58,5.20%,0.68%,Email7,Email7 Link_Number 10,11/05/2019
Unsubscribe,15,1.44%,49,4.40%,0.18%,Email7,Email7 Link_Number 11,11/05/2019
http://facebook.com/USouthernMaine,1,0.10%,2,0.18%,0.01%,Email7,Email7 Link_Number 12,11/05/2019
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=febf12797c640079&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,1,0.10%,1,0.09%,0.01%,Email7,Email7 Link_Number 13,11/05/2019
http://usm.maine.edu/high-school-students,1,0.10%,1,0.09%,0.01%,Email7,Email7 Link_Number 14,11/05/2019
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=febf12797c640079&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 15,11/05/2019
http://instagram.com/USouthernMaine,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 16,11/05/2019
http://linkedin.com/edu/school?id=18589,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 17,11/05/2019
http://twitter.com/USouthernMaine,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 18,11/05/2019
http://view.e-usm.maine.edu/?j=febf12797c640079&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 19,11/05/2019
http://view.e-usm.maine.edu/ftaf.aspx?j=febf12797c640079&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 20,11/05/2019
http://youtube.com/user/USouthernMaine,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 21,11/05/2019
https://facebook.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 22,11/05/2019
https://instagram.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 23,11/05/2019
https://twitter.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 24,11/05/2019
https://www.linkedin.com/school/university-of-southern-maine,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 25,11/05/2019
https://youtube.com/user/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email7,Email7 Link_Number 26,11/05/2019
Totals,1041,,1115,,,Email7,Email7 Link_Number 27,11/05/2019
,NA,,NA,,,Email7,Email7 Link_Number 28,11/05/2019
https://usm.maine.edu/apply,42,18.67%,47,19.03%,2.01%,Email8A,Email8A Link_Number 1,11/21/2019
https://usm.maine.edu/office-of-admissions/video-ashley-howe,36,16.00%,36,14.58%,1.72%,Email8A,Email8A Link_Number 2,11/21/2019
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,34,15.11%,34,13.77%,1.62%,Email8A,Email8A Link_Number 3,11/21/2019
https://usm.maine.edu/meet-our-faculty,33,14.67%,37,14.98%,1.58%,Email8A,Email8A Link_Number 4,11/21/2019
http://usm.maine.edu,33,14.67%,36,14.58%,1.58%,Email8A,Email8A Link_Number 5,11/21/2019
https://usm.maine.edu/advising,33,14.67%,35,14.17%,1.58%,Email8A,Email8A Link_Number 6,11/21/2019
Unsubscribe,6,2.67%,12,4.86%,0.29%,Email8A,Email8A Link_Number 7,11/21/2019
https://usm.maine.edu/visit#virtualtour,4,1.78%,4,1.62%,0.19%,Email8A,Email8A Link_Number 8,11/21/2019
http://instagram.com/USouthernMaine,1,0.44%,2,0.81%,0.05%,Email8A,Email8A Link_Number 9,11/21/2019
http://twitter.com/USouthernMaine,1,0.44%,2,0.81%,0.05%,Email8A,Email8A Link_Number 10,11/21/2019
http://facebook.com/USouthernMaine,1,0.44%,1,0.41%,0.05%,Email8A,Email8A Link_Number 11,11/21/2019
http://view.e-usm.maine.edu/?j=fecd13727460077c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,1,0.44%,1,0.41%,0.05%,Email8A,Email8A Link_Number 12,11/21/2019
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fecd13727460077c&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 13,11/21/2019
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fecd13727460077c&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 14,11/21/2019
http://linkedin.com/edu/school?id=18589,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 15,11/21/2019
http://usm.maine.edu/high-school-students,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 16,11/21/2019
