Links Clicked Detail Report,,,,,,,
Report Run On:,3/31/2020 4:23:42 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,348109,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,1/29/2019 6:00:44 PM,,,,,,
Send Complete Time,1/29/2019 6:00:56 PM,,,,,,
Email Name:,FY19 UG App Gen - Email 12 (Student Activities),,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,158,17.008%,216,17.661%,1.426765%,
https://usm.maine.edu/activities/usm,,140,15.07%,147,12.02%,1.264223%,
http://usm.maine.edu,,133,14.316%,144,11.774%,1.201011%,
http://usm.maine.edu/apply,,123,13.24%,136,11.12%,1.11071%,
https://facebook.com/USouthernMaine,,114,12.271%,114,9.321%,1.029438%,
https://twitter.com/USouthernMaine,,112,12.056%,215,17.58%,1.011378%,
https://instagram.com/USouthernMaine,,111,11.948%,150,12.265%,1.002348%,
Unsubscribe,,32,3.445%,91,7.441%,0.288965%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec617747d650474&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,4,0.431%,8,0.654%,0.036121%,
https://usm.maine.edu/high-school-students,,2,0.215%,2,0.164%,0.01806%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec617747d650474&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/?j=fec617747d650474&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fec617747d650474&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine/,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,929,,1223,,,
,,,,,,,
,,,,,,,
