Links Clicked Detail Report,,,,,,,
Report Run On:,3/31/2020 4:25:43 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,354815,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,2/5/2019 6:00:43 PM,,,,,,
Send Complete Time,2/5/2019 6:00:57 PM,,,,,,
Email Name:,FY19 UG App Gen - Email 13 (Residential Life),,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,166,16.259%,208,15.488%,1.532921%,
https://usm.maine.edu/scholarships/merit-scholarships,,145,14.202%,184,13.701%,1.338997%,
http://usm.maine.edu/apply,,140,13.712%,158,11.765%,1.292825%,
http://usm.maine.edu,,138,13.516%,153,11.392%,1.274356%,
https://usm.maine.edu/residential-life/living-learning-communities,,137,13.418%,185,13.775%,1.265121%,
https://twitter.com/USouthernMaine,,133,13.026%,255,18.987%,1.228184%,
https://facebook.com/USouthernMaine,,133,13.026%,133,9.903%,1.228184%,
Unsubscribe,,21,2.057%,59,4.393%,0.193924%,
https://instagram.com/USouthernMaine,,2,0.196%,2,0.149%,0.018469%,
https://usm.maine.edu/high-school-students,,2,0.196%,2,0.149%,0.018469%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec51775716c0578&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.098%,1,0.074%,0.009234%,
http://view.e-usm.maine.edu/?j=fec51775716c0578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.098%,1,0.074%,0.009234%,
https://www.linkedin.com/school/university-of-southern-maine/,,1,0.098%,1,0.074%,0.009234%,
https://youtube.com/user/USouthernMaine,,1,0.098%,1,0.074%,0.009234%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec51775716c0578&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fec51775716c0578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,1021,,1343,,,
,,,,,,,
,,,,,,,
