Link,Total_Clicks,Unique_Clicks,Net_CTR,Name,LinkPlacement,Date/Time Sent,Emails Sent,Unique Click-Through Rate,Open Rate,Deliverability Rate,Delivered,UnsubRate,Opens
Unsubscribe,8,3,0.003,FY20 Adult App Gen - Email 01 (University of Everyone),3,09/19/2019,1125,0.0150,0.1770,0.9920,1116,0.002688172,199
Unsubscribe,7,2,0.002,FY20 Adult App Gen - Email 03,7,11/13/2019,1212,0.0220,0.1560,0.9950,1206,0.001658457,189
Unsubscribe,9,3,0.003,FY20 Adult App Gen - Email 02,5,10/16/2019,1140,0.0190,0.1450,0.9970,1137,0.002639497,165
Unsubscribe,4,2,0.002,FY20 Adult App Gen - Email 04,3,12/17/2019,1276,0.0190,0.1740,0.9970,1272,0.001572114,222
Unsubscribe,14,6,0.005,FY20 Adult App Gen - Email 05,2,01/14/2020,1320,0.0210,0.1850,0.9920,1309,0.004582111,244
Unsubscribe,4,1,0.001,FY20 Adult App Gen - Email 06,6,02/11/2020,1340,0.0090,0.1230,0.9930,1331,0.000751529,165
Unsubscribe,11,5,0.004,FY20 Adult App Gen - Email 07,3,03/10/2020,1325,0.0160,0.1530,0.9630,1276,0.003918572,203
Unsubscribe,3,1,0.001,FY19 Adult App Gen - Email 07 (Community Connections),7,03/12/2019,1582,0.0100,0.1580,0.9850,1558,0.000641737,250
Unsubscribe,12,4,0.002,FY19 Adult App Gen - Email 08 (Auma Aliardo),3,04/09/2019,1654,0.0150,0.1480,0.9940,1644,0.002432978,245
Unsubscribe,6,2,0.001,FY19 Adult App Gen - Email 09 (Samantha Watson),5,05/07/2019,1643,0.0130,0.1530,0.9970,1638,0.001220948,251
Unsubscribe,7,2,0.001,FY19 Adult App Gen - Email 10 (Personalized Approach),8,06/11/2019,1725,0.0180,0.1600,0.9940,1715,0.001166419,276
Unsubscribe,10,3,0.002,FY19 Adult App Gen - Email 11 (Career Opportunities),3,07/16/2019,1765,0.0100,0.1500,0.9920,1751,0.001713424,265
Unsubscribe,10,4,0.002,FY19 Adult App Gen - Email 12 (Majors),5,07/30/2019,1776,0.0170,0.1640,0.9900,1758,0.002275002,291
Unsubscribe,114,46,0.005,FY19 UG App Gen - Email 22 (Still Time),2,07/09/2019,9507,0.0110,0.1320,0.9780,9298,0.004947382,1255
Unsubscribe,108,44,0.005,FY19 UG App Gen - Email 21 (Dedicated Professors),3,06/04/2019,9686,0.0110,0.1190,0.9960,9647,0.004560882,1153
Unsubscribe,148,109,0.011,FY19 UG App Gen - Email 20 (Internships),7,05/21/2019,9871,0.0180,0.1270,0.9940,9812,0.011109102,1254
Unsubscribe,84,35,0.004,FY19 UG App Gen - Email 19 (Tourism and Hospitality),7,05/07/2019,9975,0.0200,0.1400,0.9980,9955,0.003515804,1397
Unsubscribe,98,30,0.003,FY19 UG App Gen - Email 18 (National College Decision Day),11,04/16/2019,10166,0.0210,0.1480,0.9980,10146,0.002956927,1505
Unsubscribe,63,22,0.002,FY19 UG App Gen - Email 17 (Advising),7,04/02/2019,10269,0.0190,0.1320,0.9980,10248,0.002146664,1356
Unsubscribe,66,21,0.002,FY19 UG App Gen - Email 16 (Ci2 Lab),8,03/19/2019,10394,0.0170,0.1230,0.9970,10363,0.002026476,1278
Unsubscribe,71,21,0.002,FY19 UG App Gen - Email 15 (QC2 Lab),8,03/05/2019,10500,0.0170,0.1330,0.9980,10479,0.002004008,1397
Unsubscribe,69,23,0.002,FY19 UG App Gen - Email 14 (Financial Aid),8,02/19/2019,10927,0.0180,0.1470,0.9810,10719,0.002145645,1606
Unsubscribe,59,21,0.002,FY19 UG App Gen - Email 13 (Residential Life),8,02/05/2019,11046,0.0190,0.1440,0.9800,10825,0.001939939,1591
Unsubscribe,91,32,0.003,FY19 UG App Gen - Email 12 (Student Activities),8,01/29/2019,11356,0.0200,0.1510,0.9750,11072,0.002890147,1715
Unsubscribe,49,15,0.0018,FY20 UG High School App Gen - Email 07,11,11/05/2019,8484,0.0210,0.1780,0.9850,8357,0.001794958,1510
Unsubscribe,12,6,0.0029,FY20 UG High School App Gen - Email 08 (Version A),7,11/21/2019,2125,0.0260,0.1910,0.9850,2093,0.002866527,406
Unsubscribe,12,4,0.0019,FY20 UG High School App Gen - Email 08 (Version B),9,11/22/2019,4307,0.0210,0.1810,0.9880,4255,0.000940001,780
Unsubscribe,12,4,0.0019,FY20 UG High School App Gen - Email 08 (Version B),9,11/21/2019,2125,0.0290,0.1810,0.9900,2104,0.001901367,385
Unsubscribe,19,7,0.0016,FY20 UG High School App Gen - Email 08 (Version B),11,11/22/2019,4307,0.0210,0.1810,0.9880,4255,0.001645001,780
