"Month","Campaign","Sent","Delivered","OpenRate","UniqueCTR","DeliveryRate","UnsubscribeRate"
2017-08-01,"Adult_App_Gen",1779,0,"24.21%","3.27%","0%","0.34%"
2017-08-01,"HS_App_Gen",58,0,"0%","0%","0%","0%"
2017-08-01,"UG_Lead_Nurture",9725,0,"26.87%","3.53%","0%","0.21%"
2017-09-01,"Adult_App_Gen",1558,1552,"18.17%","2.13%","99.61%","0.13%"
2017-09-01,"HS_App_Gen",6211,6209,"17.54%","1.01%","99.97%","0.26%"
2017-09-01,"UG_Lead_Nurture",3939,3934,"17.03%","1.4%","99.87%","0.18%"
2017-10-01,"Adult_App_Gen",1589,1584,"13.38%","1.07%","99.69%","0.44%"
2017-10-01,"HS_App_Gen",8588,8582,"15.26%","1.29%","99.93%","0.2%"
2017-10-01,"UG_Lead_Nurture",4534,4532,"13.99%","1.08%","99.96%","0.11%"
2017-12-01,"Adult_App_Gen",1693,1693,"12.17%","1.48%","100%","0.24%"
2017-12-01,"HS_App_Gen",9986.5,9976,"17.95%","1.04%","99.89%","0.27%"
2017-12-01,"UG_Lead_Nurture",6470,6467,"11.38%","0.82%","99.95%","0.08%"
2018-01-01,"Adult_App_Gen",1712,1710,"16.96%","1.05%","99.88%","0.53%"
2018-01-01,"HS_App_Gen",9298.5,9292,"17.65%","1.21%","99.93%","0.305%"
2018-01-01,"UG_Lead_Nurture",6584,6571,"18.64%","1.2%","99.8%","0.23%"
2018-02-01,"Adult_App_Gen",1667,1666,"14.23%","1.38%","99.94%","0.3%"
2018-02-01,"HS_App_Gen",8993.5,8992,"14.67%","1.5%","99.98%","0.2%"
2018-02-01,"UG_Lead_Nurture",8448,8436,"17.05%","1.07%","99.86%","0.19%"
2018-04-01,"Adult_App_Gen",1768,1757,"17.02%","1.08%","99.38%","0.8%"
2018-04-01,"HS_App_Gen",8887.5,8852,"13.13%","1.29%","99.6%","0.665%"
2018-04-01,"UG_Lead_Nurture",10355,10301,"15.98%","1.17%","99.48%","0.68%"
2018-05-01,"Adult_App_Gen",1808,1807,"13.95%","0.94%","99.94%","0.22%"
2018-05-01,"HS_App_Gen",8699,8676,"11.92%","1.16%","99.74%","0.54%"
2018-05-01,"UG_Lead_Nurture",11942,11827,"17%","1.22%","99.04%","0.98%"
2018-06-01,"Adult_App_Gen",1880,1876,"14.07%","1.01%","99.79%","0.27%"
2018-06-01,"HS_App_Gen",8580,8533,"10.56%","1.11%","99.45%","0.52%"
2018-06-01,"UG_Lead_Nurture",12371,12287,"15.63%","1.29%","99.32%","0.65%"
2018-07-01,"Adult_App_Gen",1940.5,1930,"13.23%","1.03%","99.46%","0.44%"
2018-07-01,"HS_App_Gen",8011,7930,"12.33%","1.28%","98.99%","0.295%"
2018-07-01,"UG_Lead_Nurture",12357,12352,"13.45%","1.2%","99.96%","0.16%"
2018-08-01,"HS_App_Gen",7857,7851,"14.02%","1.18%","99.92%","0.13%"
2018-08-01,"UG_Lead_Nurture",12721,12721,"0%","0.35%","100%","0.17%"
2018-09-01,"Adult_App_Gen",1447,1447,"14.44%","0.07%","100%","0.14%"
2018-09-01,"HS_App_Gen",9070.5,9070,"13.97%","0.58%","99.99%","0.255%"
2018-09-01,"UG_Lead_Nurture",4204,4204,"17.06%","0.14%","100%","0.24%"
2018-10-01,"Adult_App_Gen",1421,1421,"0%","NA%","100%","NA%"
2018-10-01,"HS_App_Gen",10522,10522,"3.97%","0.38%","100%","NA%"
2018-10-01,"UG_Lead_Nurture",4535,4535,"4.92%","0.24%","100%","NA%"
2018-11-01,"Adult_App_Gen",1480,1480,"14.05%","1.08%","100%","0.14%"
2018-11-01,"HS_App_Gen",12134,12134,"15.86%","1.36%","100%","0.205%"
2018-11-01,"UG_Lead_Nurture",5626,5626,"15.71%","1.16%","100%","0.23%"
2018-12-01,"Adult_App_Gen",1529,1529,"14.85%","1.57%","100%","0.39%"
2018-12-01,"HS_App_Gen",12050,12050,"19.14%","1.59%","100%","0.2%"
2018-12-01,"UG_Lead_Nurture",5843,5843,"14.92%","1.68%","100%","0.1%"
