Campaign,Date/Time Sent,Status,Emails Sent,Unique Click-Through Rate,Open Rate,Deliverability Rate,,Delivered,Opened,Clicks,TotalUnsub,UniqueUnsub,LinkPlacement
Adult_App_Gen,03/12/2019,Complete,1582,0.01,0.158,0.985,,1558,246,16,3,1,7
Adult_App_Gen,04/09/2019,Complete,1654,0.015,0.148,0.994,,1644,243,25,12,4,3
Adult_App_Gen,05/07/2019,Complete,1643,0.013,0.153,0.997,,1638,251,21,6,2,5
Adult_App_Gen,06/11/2019,Complete,1725,0.018,0.16,0.994,,1715,274,31,7,2,8
Adult_App_Gen,07/16/2019,Complete,1765,0.01,0.15,0.992,,1751,263,18,10,3,3
Adult_App_Gen,07/30/2019,Complete,1776,0.017,0.164,0.99,,1758,288,30,10,4,5
UG_Lead_Nurture,02/13/2019,Complete,6087,0.016,0.141,0.966,,5880,829,94,8,4,8
UG_Lead_Nurture,03/13/2019,Complete,6074,0.019,0.134,0.975,,5922,794,113,34,12,12
UG_Lead_Nurture,04/10/2019,Complete,6275,0.022,0.143,0.993,,6231,891,137,15,5,13
UG_Lead_Nurture,05/15/2019,Complete,7154,0.024,0.17,0.982,,7025,1194,169,13,5,14
UG_Lead_Nurture,06/12/2019,Complete,7806,0.021,0.168,0.987,,7705,1294,162,21,7,14
UG_Lead_Nurture,07/10/2019,Complete,7824,0.016,0.153,0.991,,7754,1186,124,31,15,8
UG_Lead_Nurture,08/14/2019,Complete,1238,0.02,0.171,0.996,,1233,211,25,5,5,13
HS_App_Gen,01/29/2019,Complete,11356,0.02,0.151,0.975,,11072,1672,221,91,32,8
HS_App_Gen,02/05/2019,Complete,11046,0.019,0.144,0.98,,10825,1559,206,59,21,8
HS_App_Gen,02/19/2019,Complete,10927,0.018,0.147,0.981,,10719,1576,193,69,23,8
HS_App_Gen,03/05/2019,Complete,10500,0.017,0.133,0.998,,10479,1394,178,71,21,8
HS_App_Gen,03/19/2019,Complete,10394,0.017,0.123,0.997,,10363,1275,176,66,21,8
HS_App_Gen,04/02/2019,Complete,10269,0.019,0.132,0.998,,10248,1353,195,63,22,7
HS_App_Gen,04/16/2019,Complete,10166,0.021,0.148,0.998,,10146,1502,213,98,30,11
HS_App_Gen,05/07/2019,Complete,9975,0.02,0.14,0.998,,9955,1394,199,84,35,7
HS_App_Gen,05/21/2019,Complete,9871,0.018,0.127,0.994,,9812,1246,177,148,109,7
HS_App_Gen,06/04/2019,Complete,9686,0.011,0.119,0.996,,9647,1148,106,108,44,3
HS_App_Gen,07/09/2019,Complete,9507,0.011,0.132,0.978,,9298,1227,102,114,46,2
Adult_App_Gen,09/19/2019,Complete,1125,0.015,0.177,0.992,,1116,198,17,8,3,3
Adult_App_Gen,10/16/2019,Complete,1140,0.019,0.145,0.997,,1137,165,22,9,3,5
Adult_App_Gen,11/13/2019,Complete,1212,0.022,0.156,0.995,,1206,188,27,7,2,7
Adult_App_Gen,12/17/2019,Complete,1276,0.019,0.174,0.997,,1272,221,24,4,2,3
Adult_App_Gen,01/14/2020,Complete,1320,0.021,0.185,0.992,,1309,242,27,14,6,2
Adult_App_Gen,02/11/2020,Complete,1340,0.009,0.123,0.993,,1331,164,12,4,1,6
Adult_App_Gen,03/10/2020,Complete,1325,0.016,0.153,0.963,,1276,195,20,11,5,3
UG_Lead_Nurture,09/19/2019,Complete,1330,0.021,0.192,0.985,,1310,252,28,0,0,18
UG_Lead_Nurture,10/09/2019,Complete,1537,0.028,0.181,0.963,,1480,268,41,12,4,11
UG_Lead_Nurture,11/13/2019,Complete,2062,0.029,0.197,0.956,,1971,388,57,10,4,6
UG_Lead_Nurture,12/11/2019,Complete,2174,0.021,0.189,0.978,,2126,402,45,9,4,12
UG_Lead_Nurture,01/14/2020,Complete,2212,0.018,0.179,0.992,,2194,393,39,4,2,12
UG_Lead_Nurture,02/12/2020,Complete,2349,0.007,0.146,0.995,,2337,341,16,0,0,18
UG_Lead_Nurture,03/11/2020,Complete,2769,0.014,0.176,0.919,,2545,448,36,10,3,4
HS_App_Gen,07/23/2019,Complete,5753,0.023,0.149,0.996,,5730,854,132,19,7,11
HS_App_Gen,07/31/2019,Complete,5918,0.021,0.143,0.996,,5894,843,124,13,5,11
HS_App_Gen,09/04/2019,Complete,6590,0.021,0.165,0.993,,6544,1080,137,52,16,7
HS_App_Gen,09/17/2019,Complete,6780,0.017,0.146,0.993,,6733,983,114,21,7,11
HS_App_Gen,10/09/2019,Complete,7325,0.017,0.138,0.988,,7237,999,123,46,16,11
HS_App_Gen,10/23/2019,Complete,7583,0.021,0.15,0.99,,7507,1126,158,27,9,11
HS_App_Gen,11/05/2019,Complete,8484,0.021,0.178,0.985,,8357,1487,175,49,15,11
HS_App_Gen,11/21/2019,Complete,8557,0.026,0.1843,0.985,,8429,1553,219,43,17,9
HS_App_Gen,12/04/2019,Complete,8240,0.02,0.186,0.991,,8166,1519,163,49,17,11
HS_App_Gen,12/17/2019,Complete,7803,0.02,0.148,0.997,,7780,1151,156,34,12,11
HS_App_Gen,01/08/2020,Complete,7609,0.016,0.142,0.997,,7586,1077,121,43,15,12
HS_App_Gen,01/28/2020,Complete,7458,0.008,0.136,0.997,,7436,1011,59,51,19,2
HS_App_Gen,02/04/2020,Complete,7415,0.008,0.133,0.997,,7393,983,59,36,14,2
HS_App_Gen,03/03/2020,Complete,7816,0.009,0.126,0.938,,7331,924,66,48,17,2
HS_App_Gen,03/18/2020,Complete,7470,0.006,0.116,0.955,,7134,828,43,25,8,2
