Campaign,Month,Sent,Delivered,Opens,Clicks,OptOuts,Bounces,LinkPlacement
HS_App_Gen,01/01/2019,11356,11072,1672,221,32,0,8
HS_App_Gen,02/01/2019,21973,21544,3135,399,44,0,8
UG_Lead_Nurture,02/01/2019,6087,5880,829,94,4,0,8
Adult_App_Gen,03/01/2019,1582,1558,246,16,1,0,7
HS_App_Gen,03/01/2019,20894,20842,2669,354,42,0,8
UG_Lead_Nurture,03/01/2019,6074,5922,794,113,12,0,12
Adult_App_Gen,04/01/2019,1654,1644,243,25,4,0,3
HS_App_Gen,04/01/2019,20435,20394,2855,408,52,0,9
UG_Lead_Nurture,04/01/2019,6275,6231,891,137,5,0,13
Adult_App_Gen,05/01/2019,1643,1638,251,21,2,0,5
HS_App_Gen,05/01/2019,19846,19767,2640,376,144,0,7
UG_Lead_Nurture,05/01/2019,7154,7025,1194,169,5,0,14
Adult_App_Gen,06/01/2019,1725,1715,274,31,2,0,8
HS_App_Gen,06/01/2019,9686,9647,1148,106,44,0,3
UG_Lead_Nurture,06/01/2019,7806,7705,1294,162,7,0,14
Adult_App_Gen,07/01/2019,3541,3509,551,48,7,0,4
HS_App_Gen,07/01/2019,21178,20922,2924,358,58,0,8
UG_Lead_Nurture,07/01/2019,7824,7754,1186,124,15,0,8
UG_Lead_Nurture,08/01/2019,1238,1233,211,25,5,0,13
Adult_App_Gen,09/01/2019,1125,1116,198,17,3,0,3
HS_App_Gen,09/01/2019,13370,13277,2063,251,23,0,9
UG_Lead_Nurture,09/01/2019,1330,1310,252,28,0,0,18
Adult_App_Gen,10/01/2019,1140,1137,165,22,3,0,5
HS_App_Gen,10/01/2019,14908,14744,2125,281,25,0,11
UG_Lead_Nurture,10/01/2019,1537,1480,268,41,4,0,11
Adult_App_Gen,11/01/2019,1212,1206,188,27,2,0,7
HS_App_Gen,11/01/2019,17041,16786,3040,394,32,0,10
UG_Lead_Nurture,11/01/2019,2062,1971,388,57,4,0,6
Adult_App_Gen,12/01/2019,1276,1272,221,24,2,0,3
HS_App_Gen,12/01/2019,16043,15946,2670,319,29,0,11
UG_Lead_Nurture,12/01/2019,2174,2126,402,45,4,0,12
Adult_App_Gen,01/01/2020,1320,1309,242,27,6,0,2
HS_App_Gen,01/01/2020,15067,15022,2088,180,34,0,7
UG_Lead_Nurture,01/01/2020,2212,2194,393,39,2,0,12
Adult_App_Gen,02/01/2020,1340,1331,164,12,1,0,6
HS_App_Gen,02/01/2020,7415,7393,983,59,14,0,2
UG_Lead_Nurture,02/01/2020,2349,2337,341,16,0,0,18
Adult_App_Gen,03/01/2020,1325,1276,195,20,5,0,3
HS_App_Gen,03/01/2020,15286,14465,1752,109,25,0,2
UG_Lead_Nurture,03/01/2020,2769,2545,448,36,3,0,4
