Email,Campaign,Date,Sent,UniqueCTR,OpenRate,DeliveryRate,Delivered,Total_Clicks,Unique_Clicks,totalUnsubs,uniqueUnsubs,LinkPlacement,Opens,uniqueCTR
FY19 Adult App Gen - Email 07 (Community Connections),Adult_App_Gen,03/12/2019,1582,0.01,0.158,0.985,1558,19,15,3,1,7,246,0.0096
FY19 Adult App Gen - Email 08 (Auma Aliardo),Adult_App_Gen,04/09/2019,1654,0.015,0.148,0.994,1644,32,24,12,4,3,243,0.0146
FY19 Adult App Gen - Email 09 (Samantha Watson),Adult_App_Gen,05/07/2019,1643,0.013,0.153,0.997,1638,37,27,6,2,5,251,0.0165
FY19 Adult App Gen - Email 10 (Personalized Approach),Adult_App_Gen,06/11/2019,1725,0.018,0.16,0.994,1715,53,40,7,2,8,274,0.0233
FY19 Adult App Gen - Email 11 (Career Opportunities),Adult_App_Gen,07/16/2019,1765,0.01,0.15,0.992,1751,26,18,10,3,3,263,0.0103
FY19 Adult App Gen - Email 12 (Majors),Adult_App_Gen,07/30/2019,1776,0.017,0.164,0.99,1758,47,31,10,4,5,288,0.0176
FY19 Lead Nurture - Email 06 (Three Unique Campuses),UG_Lead_Nurture,02/13/2019,6087,0.016,0.141,0.966,5880,634,479,8,4,8,829,0.0815
FY19 Lead Nurture - Email 07 (Springtime on Campus),UG_Lead_Nurture,03/13/2019,6074,0.019,0.134,0.975,5922,809,599,34,12,12,794,0.1011
FY19 Lead Nurture - Email 08 (Living Learning Communities),UG_Lead_Nurture,04/10/2019,6275,0.022,0.143,0.993,6231,1126,847,15,5,13,891,0.1359
FY19 Lead Nurture - Email 09 (Majors),UG_Lead_Nurture,05/15/2019,7154,0.024,0.17,0.982,7025,1230,1015,13,5,14,1194,0.1445
FY19 Lead Nurture - Email 10 (Iceland),UG_Lead_Nurture,06/12/2019,7806,0.021,0.168,0.987,7705,1385,1196,21,7,14,1294,0.1552
FY19 Lead Nurture - Email 11 (Financial Aid),UG_Lead_Nurture,07/10/2019,7824,0.016,0.153,0.991,7754,1154,886,31,15,8,1186,0.1143
FY19 Lead Nurture - Email 12 (Therapeutic Recreation),UG_Lead_Nurture,08/14/2019,1238,0.02,0.171,0.996,1233,211,159,5,5,13,211,0.1289
FY19 UG App Gen - Email 12 (Student Activities),HS_App_Gen,01/29/2019,11356,0.02,0.151,0.975,11072,1223,929,91,32,8,1672,0.0839
FY19 UG App Gen - Email 13 (Residential Life),HS_App_Gen,02/05/2019,11046,0.019,0.144,0.98,10825,1343,1021,59,21,8,1559,0.0943
FY19 UG App Gen - Email 14 (Financial Aid),HS_App_Gen,02/19/2019,10927,0.018,0.147,0.981,10719,1005,803,69,23,8,1576,0.0749
FY19 UG App Gen - Email 15 (QC2 Lab),HS_App_Gen,03/05/2019,10500,0.017,0.133,0.998,10479,1218,965,71,21,8,1394,0.0921
FY19 UG App Gen - Email 16 (Ci2 Lab),HS_App_Gen,03/19/2019,10394,0.017,0.123,0.997,10363,1131,864,66,21,8,1275,0.0834
FY19 UG App Gen - Email 17 (Advising),HS_App_Gen,04/02/2019,10269,0.019,0.132,0.998,10248,1209,907,63,22,7,1353,0.0885
FY19 UG App Gen - Email 18 (National College Decision Day),HS_App_Gen,04/16/2019,10166,0.021,0.148,0.998,10146,1377,1010,98,30,11,1502,0.0995
FY19 UG App Gen - Email 19 (Tourism and Hospitality),HS_App_Gen,05/07/2019,9975,0.02,0.14,0.998,9955,1170,892,84,35,7,1394,0.0896
FY19 UG App Gen - Email 20 (Internships),HS_App_Gen,05/21/2019,9871,0.018,0.127,0.994,9812,1681,1349,148,109,7,1246,0.1375
FY19 UG App Gen - Email 21 (Dedicated Professors),HS_App_Gen,06/04/2019,9686,0.011,0.119,0.996,9647,618,421,108,44,3,1148,0.0436
FY19 UG App Gen - Email 22 (Still Time),HS_App_Gen,07/09/2019,9507,0.011,0.132,0.978,9298,460,293,114,46,2,1227,0.0315
FY20 Adult App Gen - Email 01 (University of Everyone),Adult_App_Gen,09/19/2019,1125,0.015,0.177,0.992,1116,35,21,8,3,3,198,0.0188
FY20 Adult App Gen - Email 02,Adult_App_Gen,10/16/2019,1140,0.019,0.145,0.997,1137,32,24,9,3,5,165,0.0211
